AABERG,ˈɑbɝg 
LALLEY,ɫˈæɫi 
LALLI,ɫˈæɫi 
LALLIE,ɫˈɔɫi 
LALLIER,ɫˈæɫiɝ
LALLO,ɫˈæɫoʊ
LALLY,ɫˈæɫi 
LALONDE,ɫɑɫˈoʊn  di 
LALONE,ɫɑɫˈoʊni 
LALOR,ɫæɫˈɔr
LAM,ɫˈæm 
LAMA,ɫˈɑmə
LAMA'S,ɫˈɑməz 
LAMACCHIA,ɫɑmˈɑkiə
LAMAGNA,ɫɑmˈɑgnɑ 
LAMAGNA(1),ɫɑmˈɑnjɑ 
LAMAIST,ɫˈɑmaɪɪs  t 
LAMAMRA,ɫɑmˈɑmrɑ 
LAMAN,ɫˈeɪmən 
LAMANNA,ɫˈæmɪnə
LAMANTIA,ɫɑmˈɑnʃə
LAMAR,ɫɑmˈɑr
LAMAR'S,ɫɑmˈɑrz 
LAMARCA,ɫɑmˈɑrkə
LAMARCHE,ɫɑmˈɑrki 
LAMARR,ɫɑmˈɑr
LAMARRE,ɫɑmˈɑr
LAMARRE(1),ɫɑmˈɑri 
LAMARTINA,ɫɑmɑr tˈinə
LAMAS,ɫˈɑməz 
LAMASTER,ɫˈɑmæs  tɝ
LAMASTUS,ɫˈæməs  tɪs 
LAMATTINA,ɫɑmɑ  tˈinə
LAMAUR,ɫəmˈɔr
LAMAY,ɫˈæmeɪ
LAMB,ɫˈæm 
LAMB'S,ɫˈæmz 
LAMBASTE,ɫˌæmbˈæs  t 
LAMBASTE(1),ɫˌæmbˈeɪs  t 
LAMBASTED,ɫˌæmbˈæs  tɪ  d 
LAMBASTED(1),ɫˌæmbˈeɪs  tɪ  d 
LAMBASTES,ɫˌæmbˈæs  ts 
LAMBASTES(1),ɫˌæmbˈeɪs  ts 
LAMBASTES(2),ɫˌæmbˈæs 
LAMBASTES(3),ɫˌæmbˈeɪs 
LAMBASTING,ɫæmbˈeɪs  tɪŋ 
LAMBDA,ɫˈæm  də
LAMBDIN,ɫˈæm  dɪn 
LAMBE,ɫˈæm 
LAMBEAU,ɫæmbˈoʊ
LAMBERG,ɫˈæmbɝg 
LAMBERSON,ɫˈæmbɝsən 
LAMBERT,ɫˈæmbɝ t 
LAMBERT'S,ɫˈæmbɝ ts 
LAMBERTH,ɫˈæmbɝθ 
LAMBERTI,ɫɑmbˈɛr ti 
LAMBERTO,ɫɑmbˈɛr tˌoʊ
LAMBERTON,ɫˈæmbɝ tən 
LAMBERTSON,ɫˈæmbɝ tsən 
LAMBERTY,ɫˈæmbɝ ti 
LAMBETH,ɫˈæmbɪθ 
LAMBIASE,ɫɑmbiˈɑsi 
LAMBIE,ɫˈæmbi 
LAMBING,ɫˈæmɪŋ 
LAMBORGHINI,ɫˌæmbɝgˈini 
LAMBORGHINI'S,ɫˌæmbɝgˈiniz 
LAMBORGHINIS,ɫˌæmbɝgˈiniz 
LAMBORN,ɫəmbˈɔrn 
LAMBOY,ɫˈæmbˌɔɪ 
LAMBREAU,ɫæmbrˈoʊ
LAMBRECHT,ɫˈæmbrɪk  t 
LAMBRIGHT,ɫˈæmbrˌaɪ t 
LAMBRO,ɫˈæmbroʊ
LAMBROS,ɫˈæmbroʊz 
LAMBS,ɫˈæmz 
LAMBS',ɫˈæmz 
LAMBSDORFF,ɫˈæmz  dɔr f 
LAMBSON,ɫˈæmsən 
LAMBY,ɫˈæmbi 
LAME,ɫˈeɪm 
LAMELLAR,ɫəmˈɛɫɝ
LAMELY,ɫˈeɪmɫi 
LAMENDOLA,ɫɑmɛn  dˈoʊɫə
LAMENT,ɫəmˈɛn  t 
LAMENTABLE,ɫəmˈɛn  təbəɫ 
LAMENTED,ɫəmˈɛn  tɪ  d 
LAMENTING,ɫəmˈɛn  tɪŋ 
LAMENTS,ɫəmˈɛn  ts 
LAMER,ɫˈeɪmɝ
LAMERE,ɫɑmˈɛreɪ
LAMERS,ɫˈeɪmɝz 
LAMESA,ɫɑmˈeɪsə
LAMETA,ɫəmˈɛ  tə
LAMEY,ɫˈeɪmi 
LAMIA,ɫˈeɪmiə
LAMICA,ɫˈæmɪkə
LAMIE,ɫˈeɪmi 
LAMINA,ɫˈæmənə
LAMINACK,ɫˈæmɪnək 
LAMINAR,ɫˈæmɪnɝ
LAMINATE,ɫˈæmənə t 
LAMINATE(1),ɫˈæmənˌeɪ t 
LAMINATED,ɫˈæmənˌeɪ tə d 
LAMINATES,ɫˈæmənə ts 
LAMINATING,ɫˈæmənˌeɪ tɪŋ 
LAMINE,ɫəmˈin 
LAMINE'S,ɫəmˈinz 
LAMINER,ɫˈæmənɝ
LAMINNE,ɫəmˈɪn 
LAMIRANDE,ɫɑmɪrˈɑn  di 
LAMISON,ɫˈæmɪsən 
LAMKE,ɫˈæmki 
LAMKIN,ɫˈæmkɪn 
LAMLE,ɫˈæmɫi 
LAMM,ɫˈæm 
LAMM'S,ɫˈæmz 
LAMME,ɫˈæm 
LAMMERS,ɫˈæmɝz 
LAMMERT,ɫˈæmɝ t 
LAMMEY,ɫˈæmi 
LAMMI,ɫˈæmi 
LAMMON,ɫˈæmən 
LAMMOND,ɫˈæmən  d 
LAMMONS,ɫˈæmənz 
LAMON,ɫɑmˈɔn 
LAMOND,ɫəmˈɑn  d 
LAMONICA,ɫɑmoʊnˈikə
LAMONS,ɫˈɑmoʊnz 
LAMONT,ɫəmˈɑn  t 
LAMONTAGNE,ɫˌɑmɑn  tˈeɪn 
LAMONTE,ɫɑmˈɑn  t 
LAMORA,ɫɑmˈɔrə
LAMORE,ɫˈɑmɔr
LAMOREAUX,ɫˈæmɝoʊ
LAMOREUX,ɫˈæmɝoʊ
LAMORTE,ɫɑmˈɔr ti 
LAMOS,ɫˈɑmoʊs 
LAMOTHE,ɫˈɑmɔð 
LAMOTT,ɫəmˈɑ  t 
LAMOTTA,ɫɑmˈoʊ tə
LAMOTTE,ɫəmˈɔ  t 
LAMOUNTAIN,ɫˈæmun  teɪn 
LAMOUREAUX,ɫˈɑmʊroʊ
LAMOUREUX,ɫˈɑmʊroʊ
LAMP,ɫˈæm  p 
LAMPE,ɫˈæm  p 
LAMPERT,ɫˈæm  pˌɝ t 
LAMPF,ɫˈæm  p  f 
LAMPHEAR,ɫˈæmhɝ
LAMPHERE,ɫˈæm  fɝ
LAMPHIER,ɫˈæm  fiɝ
LAMPI,ɫˈæm  pi 
LAMPING,ɫˈæm  pɪŋ 
LAMPKIN,ɫˈæm  pkɪn 
LAMPKINS,ɫˈæm  pkɪnz 
LAMPL,ɫˈæm  pəɫ 
LAMPLEY,ɫˈæm  pɫi 
LAMPLIGHTER,ɫˈæm  pɫˌaɪ tɝ
LAMPLIGHTER'S,ɫˈæm  pɫˌaɪ tɝz 
LAMPLIGHTERS,ɫˈæm  pɫˌaɪ tɝz 
LAMPMAN,ɫˈæm  pmən 
LAMPO,ɫˈæm  poʊ
LAMPOON,ɫæm  pˈun 
LAMPOON'S,ɫæm  pˈunz 
LAMPOONED,ɫæm  pˈun  d 
LAMPORT,ɫˈæm  pˌɔr t 
LAMPP,ɫˈæm  p 
LAMPPOST,ɫˈæm  p  pˌoʊs  t 
LAMPPOST(1),ɫˈæm  pˌoʊs  t 
LAMPPOSTS,ɫˈæm  p  pˌoʊs  ts 
LAMPREY,ɫˈæm  pri 
LAMPREYS,ɫˈæm  priz 
LAMPRON,ɫˈæm  prən 
LAMPROS,ɫˈæm  proʊz 
LAMPS,ɫˈæm  ps 
LAMPSON,ɫˈæm  psən 
LAMPTON,ɫˈæm  p  tən 
LAMSON,ɫˈæmsən 
LAMSTON,ɫˈæms  tən 
LAMY,ɫˈeɪmi 
LAN,ɫˈæn 
LANA,ɫˈænə
LANAGAN,ɫˈænəgæn 
LANAHAN,ɫˈænəhæn 
LANAI,ɫənˈaɪ
LANAI,_CITYɫənˈaɪsˌɪ  ti 
LANASA,ɫɑnˈɑsə
LANCASHIRE,ɫˈæŋkəʃˌaɪr 
LANCASTER,ɫˈænkˌæs  tɝ
LANCASTER(1),ɫˈæŋkəs  tɝ
LANCASTRIAN,ɫˌæŋkˈæs  triən 
LANCE,ɫˈæns 
LANCE'S,ɫˈænsɪz 
LANCELET,ɫˈænsɫə t 
LANCELOT,ɫˈænsəɫˌɑ  t 
LANCEOLATE,ɫˈænsiəɫˌeɪ t 
LANCER,ɫˈænsɝ
LANCERS,ɫˈænsɝz 
LANCET,ɫˈænsə t 
LANCET'S,ɫˈænsə ts 
LANCETS,ɫˈænsə ts 
LANCIA,ɫˈɑntʃə
LANCING,ɫˈænsɪŋ 
LANCIT,ɫˈænsɪ  t 
LANCLOS,ɫˈænkɫoʊz 
LANCOME,ɫˈɑnkˌoʊm 
LANCOME(1),ɫˈænkəm 
LANCON,ɫˈæŋkən 
LANCOUR,ɫənkˈʊr
LANCTOT,ɫˈæŋk  tɔ  t 
LANCZ,ɫˈæntʃ 
LAND,ɫˈæn  d 
LAND'S,ɫˈæn  dz 
LANDA,ɫˈæn  də
LANDAU,ɫˈæn  dˌaʊ
LANDAUER,ɫˈæn  dˌaʊɝ
LANDAY,ɫˈæn  dˌeɪ
LANDBANK,ɫˈæn  dbˌæŋk 
LANDBERG,ɫˈæn  dbɝg 
LANDE,ɫˈæn  d 
LANDECK,ɫˈæn  dɪk 
LANDED,ɫˈæn  də d 
LANDED(1),ɫˈæn  dɪ  d 
LANDEFELD,ɫˈæn  dɪ  fɛɫ  d 
LANDELL,ɫæn  dˈɛɫ 
LANDEN,ɫˈæn  dən 
LANDENBERGER,ɫˈæn  dənbɝgɝ
LANDER,ɫˈæn  dɝ
LANDEROS,ɫˈæn  dɝoʊz 
LANDERS,ɫˈæn  dɝz 
LANDES,ɫˈæn  dz 
LANDESBANK,ɫˈæn  dizbˌæŋk 
LANDESMAN,ɫˈæn  dɪsmən 
LANDESS,ɫˈæn  dəs 
LANDFAIR,ɫˈæn  d  fˌɛr
LANDFALL,ɫˈæn  d  fˌɔɫ 
LANDFILL,ɫˈæn  d  fˌɪɫ 
LANDFILLING,ɫˈæn  d  fɪɫɪŋ 
LANDFILLS,ɫˈæn  d  fˌɪɫz 
LANDFORM,ɫˈæn  d  fˌɔrm 
LANDFORMS,ɫˈæn  d  fˌɔrmz 
LANDFRIED,ɫˈæn  d  fɝi  d 
LANDGRAF,ɫˈændʒrə f 
LANDGRAVE,ɫˈæn  dgrˌeɪv 
LANDGREBE,ɫˈændʒrɪb 
LANDGREN,ɫˈæn  dgrɛn 
LANDHOLDER,ɫˈæn  dhˌoʊɫ  dɝ
LANDHOLDERS,ɫˈæn  dhˌoʊɫ  dɝz 
LANDHOLDING,ɫˈæn  dhˌoʊɫ  dɪŋ 
LANDHOLDINGS,ɫˈæn  dhˌoʊɫ  dɪŋz 
LANDI,ɫˈæn  di 
LANDIN,ɫˈæn  dɪn 
LANDING,ɫˈæn  dɪŋ 
LANDINGHAM,ɫˈæn  dɪŋhˌæm 
LANDINGS,ɫˈæn  dɪŋz 
LANDINI,ɫɑn  dˈini 
LANDINO,ɫɑn  dˈinoʊ
LANDIS,ɫˈæn  dɪs 
LANDLADY,ɫˈæn  dɫˌeɪ di 
LANDLER,ɫˈæn  dɫɝ
LANDLER'S,ɫˈæn  dɫɝz 
LANDLESS,ɫˈæn  dɫɛs 
LANDLOCK,ɫˈæn  dɫˌɑk 
LANDLOCKED,ɫˈæn  dɫˌɑk  t 
LANDLORD,ɫˈæn  dɫˌɔr d 
LANDLORD'S,ɫˈæn  dɫˌɔr dz 
LANDLORDS,ɫˈæn  dɫˌɔr dz 
LANDMAN,ɫˈæn  dmən 
LANDMARK,ɫˈæn  dmˌɑrk 
LANDMARK'S,ɫˈæn  dmˌɑrks 
LANDMARKS,ɫˈæn  dmˌɑrks 
LANDMASS,ɫˈæn  dmˌæs 
LANDMASSES,ɫˈæn  dmˌæsɪz 
LANDMESSER,ɫˈæn  dmˌɛsɝ
LANDMINE,ɫˈæn  dmˌaɪn 
LANDMINES,ɫˈæn  dmˌaɪnz 
LANDO,ɫˈæn  doʊ
LANDOLFI,ɫɑn  dˈoʊɫ  fi 
LANDOLT,ɫˈæn  dˌoʊɫ  t 
LANDON,ɫˈæn  dən 
LANDON'S,ɫˈæn  dənz 
LANDOR,ɫˈæn  dɝ
LANDOVER,ɫˈæn  dˌoʊvɝ
LANDOW,ɫˈæn  doʊ
LANDOWNER,ɫˈæn  dˌoʊnɝ
LANDOWNERS,ɫˈæn  dˌoʊnɝz 
LANDOWSKI,ɫən  dˈɔ  fski 
LANDRENEAU,ɫˈæn  drɪnoʊ
LANDRESS,ɫˈæn  drɪs 
LANDRETH,ɫˈæn  drɪθ 
LANDRIEU,ɫˈæn  dru
LANDRIEU(1),ɫæn  drˈiu
LANDRIGAN,ɫˈæn  drɪgən 
LANDRITH,ɫˈæn  drɪθ 
LANDROVER,ɫˈæn  drˈoʊvɝ
LANDRUM,ɫˈæn  drəm 
LANDRUS,ɫˈæn  drəs 
LANDRY,ɫˈæn  dri 
LANDRY'S,ɫˈæn  driz 
LANDS,ɫˈæn  dz 
LANDS',ɫˈæn  dz 
LANDSAT,ɫˈæn  dsˈæ  t 
LANDSBERG,ɫˈæn  dzbɝg 
LANDSBERGER,ɫˈæn  dzbɝgɝ
LANDSBERGIS,ɫˈæn  dzbɝgəs 
LANDSCAPE,ɫˈæn  dskˌeɪ p 
LANDSCAPE(1),ɫˈænskˌeɪ p 
LANDSCAPED,ɫˈæn  dskˌeɪ p  t 
LANDSCAPER,ɫˈæn  dskˌeɪ pɝ
LANDSCAPERS,ɫˈæn  dskˌeɪ pɝz 
LANDSCAPES,ɫˈæn  dskˌeɪ ps 
LANDSCAPES(1),ɫˈænskˌeɪ ps 
LANDSCAPING,ɫˈæn  dskˌeɪ pɪŋ 
LANDSCAPING(1),ɫˈænskˌeɪ pɪŋ 
LANDSEND,ɫˈæn  dzˈɛn  d 
LANDSLIDE,ɫˈæn  dsɫˌaɪ d 
LANDSLIDE(1),ɫˈænsɫˌaɪ d 
LANDSLIDES,ɫˈæn  dsɫˌaɪ dz 
LANDSLIDES(1),ɫˈænsɫˌaɪ dz 
LANDSMAN,ɫˈæn  dzmən 
LANDSNER,ɫˈæn  dznɝ
LANDSTON,ɫˈæn  ds  tən 
LANDSTROM,ɫˈæn  ds  trəm 
LANDT,ɫˈæn  t 
LANDVIEW,ɫˈæn  dvjˌu 
LANDVIEW'S,ɫˈæn  dvjˌuz 
LANDVIEWITE,ɫˈæn  dvjuaɪ t 
LANDVIEWITES,ɫˈæn  dvjuaɪ ts 
LANDWARD,ɫˈæn  dwɝ d 
LANDWEHR,ɫˈæn  dwɪr 
LANDY,ɫˈæn  di 
LANE,ɫˈeɪn 
LANE'S,ɫˈeɪnz 
LANEHART,ɫˈeɪnhˌɑr t 
LANES,ɫˈeɪnz 
LANESE,ɫɑnˈeɪzi 
LANETE,ɫənˈi  t 
LANEVE,ɫənˈiv 
LANEY,ɫˈeɪni 
LANFEAR,ɫˈæn  fɝ
LANFORD,ɫˈæn  fɝ d 
LANG,ɫˈæŋ 
LANGAN,ɫˈæŋgən 
LANGBEHN,ɫˈæŋbɪn 
LANGBEIN,ɫˈæŋbaɪn 
LANGBO,ɫˈæŋboʊ
LANGDALE,ɫˈæŋ  dˌeɪɫ 
LANGDON,ɫˈæŋ  dən 
LANGE,ɫˈæŋ 
LANGE'S,ɫˈæŋz 
LANGEL,ɫˈeɪŋgəɫ 
LANGELAND,ɫˈeɪŋgɪɫən  d 
LANGELAND(1),ɫˈeɪŋgɫən  d 
LANGELIER,ɫˈeɪndʒɫiɝ
LANGELLA,ɫændʒˈɛɫɝ
LANGEN,ɫˈæŋən 
LANGENBACH,ɫˈeɪŋgɪnbɑk 
LANGENBERG,ɫˈæŋənbɝg 
LANGENDERFER,ɫˈeɪŋgɪn  dɝ fɝ
LANGENDORF,ɫˈeɪŋgɪn  dɔr f 
LANGENFELD,ɫˈeɪŋgɪn  fɛɫ  d 
LANGER,ɫˈæŋɝ
LANGERMAN,ɫˈæŋɝmən 
LANGERS,ɫˈæŋɝz 
LANGEVIN,ɫˈeɪŋgɪvɪn 
LANGFELDT,ɫˈæŋ  fɛɫ  t 
LANGFITT,ɫˈæŋ  fɪ  t 
LANGFORD,ɫˈæŋ  fɝ d 
LANGGUTH,ɫˈæŋuθ 
LANGHAM,ɫˈæŋhæm 
LANGHAM(1),ɫˈæŋəm 
LANGHANS,ɫˈæŋhənz 
LANGHOFF,ɫˈæŋhɔ  f 
LANGHORN,ɫˈæŋhɔrn 
LANGHORNE,ɫˈæŋhɔrn 
LANGHORST,ɫˈæŋhɔrs  t 
LANGILL,ɫˈæŋgəɫ 
LANGILLE,ɫɑŋgˈiɫi 
LANGLAIS,ɫəŋgɫˈeɪ
LANGLAND,ɫˈæŋɫən  d 
LANGLEY,ɫˈæŋɫi 
LANGLEY(1),ɫˈæŋgɫi 
LANGLINAIS,ɫˈæŋgɫɪneɪ
LANGLOIS,ɫəŋɫwˈɑ 
LANGMAN,ɫˈæŋmən 
LANGNER,ɫˈæŋnɝ
LANGO,ɫˈɑŋgoʊ
LANGONE,ɫɑŋgˈoʊni 
LANGOWSKI,ɫəŋgˈɔ  fski 
LANGREHR,ɫˈæŋgrɪr 
LANGRIDGE,ɫˈæŋgrɪdʒ 
LANGSAM,ɫˈæŋsəm 
LANGSDORF,ɫˈæŋz  dɔr f 
LANGSETH,ɫˈæŋsɛθ 
LANGSFORD,ɫˈæŋz  fɝ d 
LANGSTAFF,ɫˈæŋs  tæ  f 
LANGSTON,ɫˈæŋs  tən 
LANGTON,ɫˈæŋ  tən 
LANGUAGE,ɫˈæŋgwədʒ 
LANGUAGE(1),ɫˈæŋgwɪdʒ 
LANGUAGES,ɫˈæŋgwədʒəz 
LANGUAGES(1),ɫˈæŋgwɪdʒɪz 
LANGUID,ɫˈæŋgwə d 
LANGUISH,ɫˈæŋgwɪʃ 
LANGUISHED,ɫˈæŋgwɪʃ  t 
LANGUISHES,ɫˈæŋgwɪʃɪz 
LANGUISHING,ɫˈæŋgwɪʃɪŋ 
LANGWELL,ɫˈæŋgwɛɫ 
LANGWORTH,ɫˈæŋgwɝθ 
LANGWORTHY,ɫˈæŋwɝði 
LANHAM,ɫˈænəm 
LANI,ɫˈɑni 
LANIER,ɫənˈɪr 
LANIGAN,ɫˈænɪgən 
LANING,ɫˈeɪnɪŋ 
LANINGHAM,ɫˈænɪŋhˌæm 
LANIUS,ɫˈeɪniɪs 
LANK,ɫˈæŋk 
LANKA,ɫˈæŋkə
LANKA'S,ɫˈæŋkəz 
LANKAN,ɫˈæŋkən 
LANKANS,ɫˈæŋkənz 
LANKFORD,ɫˈæŋk  fɝ d 
LANKTREE,ɫˈæŋk  trˌi 
LANKY,ɫˈæŋki 
LANMAN,ɫˈænmən 
LANN,ɫˈæn 
LANNA,ɫˈænə
LANNAN,ɫˈænən 
LANNEN,ɫˈænən 
LANNERS,ɫˈænɝz 
LANNI,ɫˈæni 
LANNING,ɫˈænɪŋ 
LANNO,ɫˈænoʊ
LANNO'S,ɫˈænoʊz 
LANNOM,ɫˈænəm 
LANNON,ɫˈænən 
LANNY,ɫˈæni 
LANO,ɫˈɑnoʊ
LANOLIN,ɫˈænəɫən 
LANOLIN(1),ɫˈænəɫɪn 
LANOUE,ɫˈænuˌeɪ
LANOUETTE,ɫˈænuɛ  t 
LANPHEAR,ɫˈæn  fˌɪr 
LANPHER,ɫˈæn  fɝ
LANPHERE,ɫˈæn  fˌɪr 
LANPHIER,ɫˈæn  fɪr 
LANSBERRY,ɫˈænzbˌɛri 
LANSBURY,ɫˈænzbˌɝi 
LANSBURY'S,ɫˈænzbˌɝiz 
LANSDALE,ɫˈænz  dˌeɪɫ 
LANSDELL,ɫˈænz  dəɫ 
LANSDOWN,ɫˈænz  daʊn 
LANSDOWNE,ɫˈæns  dˌaʊn 
LANSER,ɫˈænsɝ
LANSFORD,ɫˈæns  fɝ d 
LANSING,ɫˈænsɪŋ 
LANSING'S,ɫˈænsɪŋz 
LANSKY,ɫˈænski 
LANSTON,ɫˈæns  tən 
LANT,ɫˈæn  t 
LANTANA,ɫæn  tˈænə
LANTER,ɫˈæn  tɝ
LANTERMAN,ɫˈæn  tɝmən 
LANTERN,ɫˈæn  tɝn 
LANTERNS,ɫˈæn  tɝnz 
LANTHANUM,ɫˈænθənəm 
LANTHIER,ɫˈænθiɝ
LANTING,ɫˈæn  tɪŋ 
LANTING'S,ɫˈæn  tɪŋz 
LANTIS,ɫˈɑn  tɪs 
LANTOS,ɫˈæn  toʊs 
LANTRIP,ɫˈæn  trɪ  p 
LANTRY,ɫˈæn  tri 
LANTZ,ɫˈæn  ts 
LANTZY,ɫˈæn  tzi 
LANUM,ɫˈænəm 
LANVIN,ɫˈænvɪn 
LANYARD,ɫˈænjɝ d 
LANYI,ɫˈɑnji 
LANYON,ɫˈænjən 
LANZ,ɫˈænz 
LANZA,ɫˈænzə
LANZELOTTI,ɫˌænzəɫˈɑ  ti 
LANZER,ɫˈænzɝ
LANZET,ɫˈænzə t 
LANZI,ɫˈænzi 
LANZILLO,ɫˌænzˈɪɫoʊ
LANZO,ɫˈænzoʊ
LAO,ɫˈaʊ
LAOS,ɫˈɑoʊs 
LAOS(1),ɫˈaʊs 
LAOS(2),ɫˈeɪoʊs 
LAOTIAN,ɫeɪˈoʊʃən 
LAOTIAN(1),ɫɑˈoʊʃən 
LAOTIAN(2),ɫˈaʊʃən 
LAP,ɫˈæ  p 
LAPAGE,ɫˈɑ  pɪdʒ 
LAPAGLIA,ɫɑ  pˈɑgɫiə
LAPALME,ɫɑ  pˈɑɫmi 
LAPAN,ɫə pˈæn 
LAPAROSCOPIC,ɫˌæ  pɝˈɑskə pɪk 
LAPAROSCOPIC(1),ɫˌæ  prəskˈɑ  pɪk 
LAPAROSCOPY,ɫˌæ  pɝˈɑskə pi 
LAPAROSCOPY(1),ɫˈæ  prəskə pi 
LAPD,ˈɛɫˈeɪ pˈi  dˈi 
LAPD'S,ˈɛɫˈeɪ pˈi  dˈiz 
LAPDOG,ɫˈæ  p  dˌɔg 
LAPE,ɫˈeɪ p 
LAPEL,ɫə pˈɛɫ 
LAPELS,ɫə pˈɛɫz 
LAPENNA,ɫɑ  pˈɛnə
LAPENTA,ɫɑ  pˈɛn  tə
LAPERLE,ɫˈæ  pɝəɫ 
LAPEYROUSE,ɫˈæ  pɪrus 
LAPHAM,ɫˈæ  fəm 
LAPHROAIG,ɫˌæ  froʊˈeɪg 
LAPIANA,ɫɑ  piˈænə
LAPIDARY,ɫˈæ  pə dˌɛri 
LAPIDES,ɫə pˈaɪ dz 
LAPIDUS,ɫˈæ  pɪ  dɪs 
LAPIDUS(1),ɫə pˈi  dəs 
LAPIER,ɫˈeɪ piɝ
LAPIERRE,ɫˈæ  piɛr
LAPIN,ɫˈæ  pɪn 
LAPINE,ɫɑ  pˈini 
LAPINSKI,ɫə pˈɪnski 
LAPINSKY,ɫə pˈɪnski 
LAPIS,ɫˈæ  pəs 
LAPKA,ɫˈɑ  pkə
LAPLACA,ɫə pɫˈɑkə
LAPLAND,ɫˈæ  pɫˌæn  d 
LAPLANT,ɫə pɫˈɔn  t 
LAPLANTE,ɫə pɫˈɑn  ti 
LAPLUME,ɫə pɫˈum 
LAPOINT,ɫə pˈɔɪn  t 
LAPOINTE,ɫə pˈɔɪn  t 
LAPOLLA,ɫə pˈoʊɫə
LAPORTA,ɫə pˈɔr tə
LAPORTE,ɫə pˈɔr t 
LAPP,ɫˈæ  p 
LAPPE,ɫˈæ  p 
LAPPED,ɫˈæ  p  t 
LAPPEN,ɫˈæ  pən 
LAPPIN,ɫə pˈæn 
LAPPING,ɫˈæ  pɪŋ 
LAPPS,ɫˈæ  ps 
LAPRADE,ɫɑ  prˈɑ  di 
LAPRAIRIE,ɫə prˈɛri 
LAPRE,ɫˈeɪ pɝ
LAPRISE,ɫˈɑ  praɪz 
LAPS,ɫˈæ  ps 
LAPSE,ɫˈæ  ps 
LAPSED,ɫˈæ  ps  t 
LAPSES,ɫˈæ  psɪz 
LAPSING,ɫˈæ  psɪŋ 
LAPSLEY,ɫˈæ  psɫi 
LAPTOP,ɫˈæ  p  tˌɑ  p 
LAPTOPS,ɫˈæ  p  tˌɑ  ps 
LAR,ɫˈɑr
LARA,ɫˈɑrə
LARABEE,ɫˈærəbi 
LARAIA,ɫɑrˈɑjə
LARAINE,ɫɝˈeɪn 
LARAMEE,ɫˈærəmi 
LARAMIE,ɫˈɛrəmi 
LARAMORE,ɫˈærəmˌɔr
LARAWAY,ɫˈærəwˌeɪ
LARCENOUS,ɫˈɑrsənəs 
LARCENY,ɫˈɑrsəni 
LARCH,ɫˈɑrtʃ 
LARCHE,ɫˈɑrtʃi 
LARCHMONT,ɫˈɑrtʃmˌɑn  t 
LARCHMONT'S,ɫˈɑrtʃmˌɑn  ts 
LARCO,ɫˈɑrkˌoʊ
LARCOM,ɫˈɑrkˌɑm 
LARCOM(1),ɫˈɑrkəm 
LARD,ɫˈɑr d 
LARDED,ɫˈɑr dɪ  d 
LARDER,ɫˈɑr dɝ
LARDNER,ɫˈɑr dnɝ
LARE,ɫˈɛr
LAREAU,ɫɝˈoʊ
LAREDO,ɫɝˈeɪ doʊ
LAREINA,ɫɑreɪˈinə
LARENA,ɫɑrˈɛnə
LAREW,ɫˈæru
LARGE,ɫˈɑrdʒ 
LARGE-SCALE,ɫˈɑrdʒskˌeɪɫ 
LARGELY,ɫˈɑrdʒɫi 
LARGEN,ɫˈɑrgən 
LARGENESS,ɫˈɑrdʒnɪs 
LARGENT,ɫˈɑrdʒən  t 
LARGER,ɫˈɑrdʒɝ
LARGESS,ɫˈɑrdʒəs 
LARGESSE,ɫɑrgˈɛs 
LARGEST,ɫˈɑrdʒəs  t 
LARGO,ɫˈɑrgoʊ
LARIAT,ɫˈɛriə t 
LARICCIA,ɫɑrˈitʃə
LARIJANI,ɫˌɛrɪdʒˈɑni 
LARIMER,ɫˈærɪmɝ
LARIMORE,ɫɑrˈimɔr
LARINA,ɫɑrˈinə
LARINE,ɫɑrˈini 
LARIOS,ɫɑrˈioʊz 
LARISCY,ɫɝˈɪski 
LARISON,ɫˈærɪsən 
LARISSA,ɫɑrˈisə
LARIVEE,ɫˈærɪvi 
LARIVIERE,ɫˈærɪviɛr
LARIZZA,ɫɝˈɪzə
LARK,ɫˈɑrk 
LARKE,ɫˈɑrk 
LARKEY,ɫˈɑrki 
LARKIN,ɫˈɑrkɪn 
LARKINS,ɫˈɑrkɪnz 
LARKS,ɫˈɑrks 
LARKSPUR,ɫˈɑrks  pˌɝ
LARMER,ɫˈɑrmɝ
LARMON,ɫˈɑrmən 
LARMORE,ɫˈɑrmɔr
LARNED,ɫˈɑrn  d 
LARNER,ɫˈɑrnɝ
LAROCCA,ɫɑrˈoʊkə
LAROCCO,ɫɑrˈoʊkoʊ
LAROCHE,ɫɑrˈoʊʃ 
LAROCHE(1),ɫɝˈoʊʃ 
LAROCHE'S,ɫɑrˈoʊʃɪz 
LAROCHELLE,ɫˈærəʃəɫ 
LAROCK,ɫˈærək 
LAROCQUE,ɫɝˈoʊk 
LAROE,ɫˈæroʊ
LAROQUE,ɫɝˈoʊk 
LAROSA,ɫɑrˈoʊsə
LAROSE,ɫɑrˈoʊsi 
LAROSIERE,ɫɑroʊsjˈɛr
LAROUCHE,ɫɑrˈuʃ 
LAROUX,ɫɝˈu
LAROWE,ɫˈæraʊ
LARRABEE,ɫˈærəbi 
LARRANCE,ɫˈærəns 
LARREA,ɫˈæriə
LARRICK,ɫˈærɪk 
LARRIMORE,ɫɑrˈimɔr
LARRISON,ɫˈærɪsən 
LARRIVEE,ɫˈærɪvi 
LARROQUETTE,ɫˌɑroʊkˈɛ  t 
